|date_from_calendar     |daily_active_users_cnt|max_dau_cnt|diff_dau|
|-----------------------|----------------------|-----------|--------|
|2022-01-01 00:00:00.000|8                     |8          |0       |
|2022-01-02 00:00:00.000|14                    |14         |0       |
|2022-01-03 00:00:00.000|14                    |14         |0       |
|2022-01-04 00:00:00.000|21                    |21         |0       |
|2022-01-05 00:00:00.000|20                    |21         |-1      |
|2022-01-06 00:00:00.000|17                    |21         |-4      |
|2022-01-07 00:00:00.000|12                    |21         |-9      |
|2022-01-08 00:00:00.000|16                    |21         |-5      |
|2022-01-09 00:00:00.000|20                    |21         |-1      |
|2022-01-10 00:00:00.000|29                    |29         |0       |
|2022-01-11 00:00:00.000|35                    |35         |0       |
|2022-01-12 00:00:00.000|46                    |46         |0       |
|2022-01-13 00:00:00.000|40                    |46         |-6      |
|2022-01-14 00:00:00.000|43                    |46         |-3      |
|2022-01-15 00:00:00.000|43                    |46         |-3      |
|2022-01-16 00:00:00.000|40                    |46         |-6      |
|2022-01-17 00:00:00.000|47                    |47         |0       |
|2022-01-18 00:00:00.000|52                    |52         |0       |
|2022-01-19 00:00:00.000|53                    |53         |0       |
|2022-01-20 00:00:00.000|51                    |53         |-2      |
|2022-01-21 00:00:00.000|49                    |53         |-4      |
|2022-01-22 00:00:00.000|36                    |53         |-17     |
|2022-01-23 00:00:00.000|36                    |53         |-17     |
|2022-01-24 00:00:00.000|63                    |63         |0       |
|2022-01-25 00:00:00.000|60                    |63         |-3      |
|2022-01-26 00:00:00.000|61                    |63         |-2      |
|2022-01-27 00:00:00.000|56                    |63         |-7      |
|2022-01-28 00:00:00.000|80                    |80         |0       |
|2022-01-29 00:00:00.000|66                    |80         |-14     |
|2022-01-30 00:00:00.000|54                    |80         |-26     |
|2022-01-31 00:00:00.000|61                    |80         |-19     |
|2022-02-01 00:00:00.000|61                    |80         |-19     |
|2022-02-02 00:00:00.000|55                    |80         |-25     |
|2022-02-03 00:00:00.000|56                    |80         |-24     |
|2022-02-04 00:00:00.000|55                    |80         |-25     |
|2022-02-05 00:00:00.000|58                    |80         |-22     |
|2022-02-06 00:00:00.000|48                    |80         |-32     |
|2022-02-07 00:00:00.000|68                    |80         |-12     |
|2022-02-08 00:00:00.000|68                    |80         |-12     |
|2022-02-09 00:00:00.000|54                    |80         |-26     |
|2022-02-10 00:00:00.000|65                    |80         |-15     |
|2022-02-11 00:00:00.000|70                    |80         |-10     |
|2022-02-12 00:00:00.000|61                    |80         |-19     |
|2022-02-13 00:00:00.000|83                    |83         |0       |
|2022-02-14 00:00:00.000|87                    |87         |0       |
|2022-02-15 00:00:00.000|68                    |87         |-19     |
|2022-02-16 00:00:00.000|84                    |87         |-3      |
|2022-02-17 00:00:00.000|148                   |148        |0       |
|2022-02-18 00:00:00.000|84                    |148        |-64     |
|2022-02-19 00:00:00.000|57                    |148        |-91     |
|2022-02-20 00:00:00.000|65                    |148        |-83     |
|2022-02-21 00:00:00.000|67                    |148        |-81     |
|2022-02-22 00:00:00.000|66                    |148        |-82     |
|2022-02-23 00:00:00.000|63                    |148        |-85     |
|2022-02-24 00:00:00.000|55                    |148        |-93     |
|2022-02-25 00:00:00.000|87                    |148        |-61     |
|2022-02-26 00:00:00.000|57                    |148        |-91     |
